Source                                  Plain  Named  Total
Rām. 2, 125, 10 Gorr.                       1      0      1
Hit. 18, 3, M.M.                            1      0      1
MBh. in Chr.                                1      0      1
Ratnāv. 2. ed.                              1      0      1
Śāk. Chezy.                                 1      0      1
Rām. 3, 49, 49, sqq.                        1      0      1
Rām. 2, 9, 34 Gorr.                         1      0      1
Hit. pr. d. 34, M.M.                        1      0      1
Man. 11, 172, v.r.,                         1      0      1
Rām. 2, 25, 16 Gorr.                        1      0      1
Hit. 52, 4, M.M.                            1      0      1
Hit. pr. d. 5, M.M.                         1      0      1
Rām. 2, 116, 29 Gorr.                       1      0      1
Rām. 2, 28, 21, Gorr.                       1      0      1
Rām. 2, 96, 1 Gorr.                         1      0      1
Hit. pr. 42, M.M.                           1      0      1
Hit. 53, 7, M.M.                            1      0      1
Vikr. d. 49, v. r.                          1      0      1
Rām. 2, 72, 1 Gorr.                         1      0      1
Hit. 50, 9, M.M.                            1      0      1
Rām. 2, 102, 1 Gorr.                        1      0      1
Śāk. d. 16, v. r.                           1      0      1
Hit. 54, 8, M.M.                            1      0      1
Rām. 2, 41, 25 Gorr.                        1      0      1
Rām. 2, 67, 11 Gorr.                        1      0      1
Rām. 2, 87, 10 Gorr.                        1      0      1
Rām. 2, 43, 31 Gorr.                        1      0      1
Rām. 2, 31, 28 Gorr.                        1      0      1
Megh. 50, cf.                               1      0      1
Rām. 2, 26, 37 Gorr.                        1      0      1
Bhāṣāp. 9, cf.                              1      0      1
Rām. 2, 75, 14 Gorr.                        1      0      1
Hit. 76, 1, M.M.                            1      0      1
Monatsb. d. Berl. Ak. d. Wiss.,             1      0      1
Rām. 2, 109, 13 Gorr.                       1      0      1
Rām. 2, 111, 53 Gorr.                       1      0      1
Prab. 99, 14, v.r.                          1      0      1
Rām. 2, 101, 36 Gorr.                       1      0      1
Vop.                                        1      0      1
Rām. 1, 4, 7 Gorr.                          1      0      1
Man. 3, 151 v. r.                           1      0      1
Śāk. 100, 9, v. r.                          1      0      1
Rām. 2, 49, 26 Gorr.                        1      0      1
Prab. 117, 18 v. r.                         1      0      1
Utt. Rāmac. 40, 1, cf.                      1      0      1
Hit. 67, 5, M.M.                            1      0      1
Rām. 1, 54, 21 Gorr.                        1      0      1
Vetālapañcav.                               1      0      1
Hariv. 417, seq.                            1      0      1
Bhartṛ. p.                                  1      0      1
Rām. 3, 1, 21 Gorr.                         1      0      1
Nalod. 2, 62, Sch.                          1      0      1
Hit. 47, 2, M.M.                            1      0      1
Rām. 2, 60, 65, Seramp.                     1      0      1
Sāh. D. p.                                  1      0      1
Gorr. v. r.                                 1      0      1
Rām. 1, 64, 16 Gorr.                        1      0      1
Rām. 1, 39, 15 Gorr.                        1      0      1
Ragh. 7, 56, Calc.                          1      0      1
Rām. 2, 32, 42 Gorr.                        1      0      1
Rām. 2, 84, 6 Gorr.                         1      0      1
Rām. 2, 92, 16 Gorr.                        1      0      1
Hit. 79, 5 Seramp.                          1      0      1
Rām. 2, 112, 15 Gorr.                       1      0      1
Sāv. 2, 4, v. r.                            1      0      1
Rām. 1, 72, 31 Gorr.                        1      0      1
Hit. 37, 4, M.M.                            1      0      1
Bhartṛ. 1, 27, v. r.                        1      0      1
Rām. 2, 116, 30 Gorr.                       1      0      1
Hit. 71, 3, M.M.                            1      0      1
Hit. 95, 4, M.M.                            1      0      1
Hit. 43, 1, M.M.                            1      0      1
Śāk. 91, 11, Chezy.                         1      0      1
Megh. 78, v. r.                             1      0      1
Daśak. 194, 6 Wils.                         1      0      1
Māl.                                        1      0      1
Rām. 1, 63, 6 Gorr.                         1      0      1
Kirātārj.                                   1      0      1
Rām. 1, 30, 20 Gorr.                        1      0      1
Rām. 2, 90, 25 Gorr.                        1      0      1
Prab. 36, 11, v. r.                         1      0      1
Rām. 2, 78, 8 Gorr.                         1      0      1
Śāk. d. 78 n.                               1      0      1
MBh. 13, 52 sqq.                            1      0      1
Hit. 88, 6, M.M.                            1      0      1
Hit. 83, 4, M.M.                            1      0      1
Hit. pr. d. 21, M.M.                        1      0      1
Rām. 2, 115, 7 Gorr.                        1      0      1
Rām. 1, 77, 24 Gorr.                        1      0      1
Rām. 2, 101, 32 Gorr.                       1      0      1
Rām. 2, 64, 55, Seramp.                     1      0      1
Rām. 1, 78, 3 Gorr.                         1      0      1
Rām. 1, 13, 39 Gorr.                        1      0      1
Trans. of the R.A.S.                        1      0      1
Rām. 2, 18, 53 Gorr.                        1      0      1
Man. 8, 57, v. r.                           1      0      1
Rām. 2, 21, 3 Gorr.                         1      0      1
Rām. 1, 18, 5 Gorr.                         1      0      1
MBh. 9, 2619 sqq.                           1      0      1
Rām. 2, 23, 10 Gorr.                        1      0      1
Amarak.                                     1      0      1
Rām. 2, 57, 20 Gorr.                        1      0      1
Śāk. 8, 22, v. r.                           1      0      1
Rām. 1, 10, 31 Gorr.                        1      0      1
Rām. 2, 99, 25 Gorr.                        1      0      1
Rām. vi. adhy.                              1      0      1
Kāmand. Nītis.                              1      0      1
Rām. 2, 65, 45 Gorr.                        1      0      1
Brahmavaiv. P.                              1      0      1
Rām. 2, 47, 41, Seramp.                     1      0      1
Rām. 1, 48, 1 Gorr.                         1      0      1
Hit. 84, 11, M.M.                           1      0      1
Rām. 2, 18, 13 Gorr.                        1      0      1
Śāk. d. 35, v. r.                           1      0      1
Böhtl. Roth.                                1      0      1
Hit. 57, 7, M.M.                            1      0      1
Mark. P.                                    1      0      1
Śāk. 92, 19, Chezy.                         1      0      1
Sāhitya Darp.                               1      0      1
Rām. 2, 50, 10 Gorr.                        1      0      1
Rām. 2, 116, 5 Gorr.                        1      0      1
Rām. 2, 105, 38 Gorr.                       1      0      1
Man. 11, 1, Calc.                           1      0      1
Rām. 2, 70, 45, Seramp.                     1      0      1
Nyāya S.                                    1      0      1
Rām. 1, 3, 60 Gorr.                         1      0      1
Rām. 1, 42, 23 Gorr.                        1      0      1
Pañc. 243, 1, sqq.                          1      0      1
Rām. 1, 34, 10 Gorr.                        1      0      1
Rām. 2, 37, 7 Gorr.                         1      0      1
Berl. Handschriften, p.                     1      0      1
M. Müller, Anc. Sskr. Lit. 380. n.          1      0      1
Vedāntas. in Chr. 204, 13 sqq.              1      0      1
Hit. 89, 8, M.M.                            1      0      1
Hit. 88, 8, M.M.                            1      0      1
Hit. 16, 4, M.M.                            1      0      1
Pañc. 44, 15, sqq.                          1      0      1
Lass. 2. ed. 42, 11, cf.                    1      0      1
Hit. 38, 1, M.M.                            1      0      1
Hit. 20, 8, M.M.                            1      0      1
Hit. 76, 7, M.M.                            1      0      1
Chr. 58, 8, Ātm.                            1      0      1
Ṛt. 1, 13 v. r.                             1      0      1
Hit. 84, 10, M.M.                           1      0      1
Rām. 1, 13, 14 Gorr.                        1      0      1
Hit. 27, 16, n.                             1      0      1
Hit. pr. 46, M.M.                           1      0      1
Naiṣ. 22, 45, Sch.                          1      0      1
Rām. 2, 25, 42 Gorr.                        1      0      1
Hit. Pr. d. 41, M.M.                        1      0      1
Hit. pr. d. 20, M.M.                        1      0      1
Hit. 4, 13, v. r.                           1      0      1
Rām. 1, 31, 4 Gorr.                         1      0      1
Rām. 1, 56, 3 Gorr.                         1      0      1
Hit. 3, 3, M.M.                             1      0      1
Vedāntas. in Chr. 202, sqq.                 1      0      1
Hit. pr. d. 40, M.M.                        1      0      1
Rām. 2, 75, 21 Gorr.                        1      0      1
Rām. 2, 64, 12, Seramp.                     1      0      1
Vedāntas. in Chr. 216, 10 cf.               1      0      1
Rām. 2, 9, 6 Gorr.                          1      0      1
Megh. 59, v. r.                             1      0      1
Rām. 1, 20, 1 Gorr.                         1      0      1
Ratnāv. p.                                  1      0      1
Rām. 2, 82, 13 Gorr.                        1      0      1
Pañc. iii. 31, v. r.                        1      0      1
Rām. 2, 68, 16, v. r.                       1      0      1
Uttararāmac. p.                             1      0      1
Rām. 2, 64, 12, ed. Seramp.                 1      0      1
Rām. 2, 99, 9 Gorr.                         1      0      1
Hit. Pr. d. 11, M.M.                        1      0      1
Mālav. 3, 2 bel.                            1      0      1
Mallin.                                     1      0      1
MBh. 3, 14488 sqq.                          1      0      1
Varāh. Bṛh.                                 1      0      1
Rām. 2, 1, 7 Gorr.                          1      0      1
Rām. 2, 97, 23 Gorr.                        1      0      1
Pāṇ. 4, 2, 2 Sch.                           1      0      1
Rām. 1, 75, 28 Gorr.                        1      0      1
Rām. 1, 7, 14 Gorr.                         1      0      1
Rām. 2, 52, 80 Gorr.                        1      0      1
Rām. 2, 60, 68, Seramp.                     1      0      1
Rām. 6, 96, 3 Gorr.                         1      0      1
Hit. 83, 10, M.M.                           1      0      1
Rām. 1, 62, 29 Gorr.                        1      0      1
Hit. 13, 4, M.M.                            1      0      1
Rām. 2, 95, 9 Gorr.                         1      0      1
Āśvalāy. Gṛhyas.                            1      0      1
Rām. 1, 5, 1, sqq. Desider.                 1      0      1
Kām. Nītis. 4, 28, sqq.                     1      0      1
MBh. 8, adhy.                               1      0      1
Rām. 2, 77, 14 Gorr.                        1      0      1
Hit. 46, 1, M.M.                            1      0      1
Hit. 57, 5, M.M.                            1      0      1
Rām. 1, 33, 13 Gorr.                        1      0      1
Rām. 1, 3, 10 Gorr.                         1      0      1
Śāk. 57, 13 v. r.                           1      0      1
Ujjvalad. 267, n.                           1      0      1
Rām. 2, 100, 25, Gorr.                      1      0      1
Śāk. d. 137, v. r.                          1      0      1
Man. 9, 124, v. r.                          1      0      1
Ragh. 11, 93, v. r.                         1      0      1
Śāk. d. 102, v. r.                          1      0      1
Mém. sur les Contrées Occident., par Hiouen Thsang.      1      0      1
Th. of the Hind. 2. ed.                     1      0      1
Rām. 2, 75, 4 Gorr.                         1      0      1
Hit. 88, 7, M.M.                            1      0      1
Spec. of the Theatre of the Hind. 2. ed. i. 250, n.      1      0      1
Rām. 2, 105, 33 Gorr.                       1      0      1
MBh. 2, 1365, cf. Caus.                     1      0      1
Hit. 60, 1, M.M.                            1      0      1
Hit. 84, 5, M.M.                            1      0      1
Rām. 2, 95, 3 Gorr.                         1      0      1
Śāk. ap. Böhtl.                             1      0      1
Rām. 2, 19, 3, Gorr.                        1      0      1
Man. 1, 71, sqq.                            1      0      1
Kāvya Prak. p.                              1      0      1
Rām. 1, 79, 32 Gorr.                        1      0      1
Śāk. d. 192, v. r.                          1      0      1
Rām. 1, 70, 26 Gorr.                        1      0      1
Hit. 82, 5, M.M.                            1      0      1
Hit. 57, 12, M.M. f.                        1      0      1
Rām. 1, 9, 57 Gorr.                         1      0      1
Rām. 2, 90, 16 Gorr.                        1      0      1
Rām. 2, 60, 76, Seramp.                     1      0      1
Man. 6, 43, v. r.                           1      0      1
Chr. 57, 1, bel.                            1      0      1
Dhūrtas.                                    1      0      1
Hit. 16, 7, M.M.                            1      0      1
Hit. pr. d. 47, M.M.                        1      0      1
Hit. 90, 8, M.M.                            1      0      1
Hit. 58, 7, M.M.                            1      0      1
Rām. 1, 31, 5 Gorr.                         1      0      1
Rām. 2, 10, 14 Gorr.                        1      0      1
Rām. 2, 73, 3 Gorr.                         1      0      1
Rām. 1, 54, 3 Gorr.                         1      0      1
Rāgh.                                       1      0      1
Hit. 18, 4, M.M.                            1      0      1
Hit. 39, 2, M.M.                            1      0      1
Hit. Pr. d. 20, v. r.                       1      0      1
Vāmanap.                                    1      0      1
Rām. 1, 13, 23 Gorr.                        1      0      1
Pāṇ. 6, 2, 56, Sch.                         1      0      1
Ragh. 13, 12, Calc. Sch.                    1      0      1
Ṛt. 1, 10, v. r.                            1      0      1
Rām. 2, 47, 21 Gorr.                        1      0      1
Rām. 2, 10, 7 Gorr.                         1      0      1
Śāk. 43, 11, Chezy.                         1      0      1
Śāk. d. 58, v. r.                           1      0      1
Hit. pr. 38, M.M.                           1      0      1
Hit. 38, 4, M.M.                            1      0      1
Rām. 2, 72, 96, Seramp.                     1      0      1
Hit. pr. d. 39, M.M.                        1      0      1
Rām. 5, adhy.                               1      0      1
Śāk. d. 35 Sch.                             1      0      1
MBh. 5, 436 sqq.                            1      0      1
Suśr. 2, 509, 11 sqq.                       1      0      1
Śāk. 58, 7, C. f.                           1      0      1
Rām. 2, 136, 1 Gorr.                        1      0      1
Rām. 2, 63, 55, Seramp.                     1      0      1
Śāk. 7, 1, bel.                             1      0      1
Bhartṛ. 2, 30, v. r.                        1      0      1
Rām. 1, 6, 24 Gorr.                         1      0      1
Hariv. 2527 sqq.                            1      0      1
Rām. 2, 66, 32 Gorr.                        1      0      1
Vikr. d. 110, etc.                          1      0      1
Hit. 75, 11, M.M.                           1      0      1
Nal. 24, 13, Bopp.,                         1      0      1
Śāk. 103, 4, v. r.                          1      0      1
Hit. 21, 7, M.M.                            1      0      1
Lass. p.                                    1      0      1
cod. Berol.                                 1      0      1
Rām. 1, 12, 27 Gorr.                        1      0      1
Arj. 3, 47, Bopp.,                          1      0      1
Rām. 2, 125, 13 Gorr.                       1      0      1
Rām. 2, 1, 30 Gorr.                         1      0      1
Śukas. Narr. 7, MS.                         1      0      1
Man. 1, 67, n.                              1      0      1
Hit. 43, 19 v. r.                           1      0      1
MBh. 12, adhy.                              1      0      1
Rām. 2, 90, 15 Gorr.                        1      0      1
Rām. 2, 68, 55 Gorr.                        1      0      1
Rām. 2, 3, 18 Gorr.                         1      0      1
Śāk. 66, 16 v. r.                           1      0      1
Bhagav.                                     1      0      1
Rām. 1, 4, 103 Gorr.                        1      0      1
Śāk. d. 69, v. r.                           1      0      1
Hit. pr. 43, M.M.                           1      0      1
Man. 4, 209. n.                             1      0      1
MBh. 8, 1941, Par.                          1      0      1
Rām. 1, 3, 70 Gorr.                         1      0      1
Cāṭ.                                        1      0      1
Rām. 1, 72, 36 Gorr.                        1      0      1
Mricch.                                     1      0      1
Rām. 2, 87, 22 Gorr.                        1      0      1
MBh. 13, 2046, sqq.                         1      0      1
Gött. Gel. Anz. 1861, p.                    1      0      1
Hit. 48, 2, M.M.                            1      0      1
Hit. pr. d. 9, M.M.                         1      0      1
MBh. 3, 14109, n.                           1      0      1
Ragh. 14, 56 Calc.                          1      0      1
Bharata                                     1      0      1
Hit. 28, 3, M.M.                            1      0      1
Śāk. 45, 4 Chezy.                           1      0      1
Rām. 2, 90, 37 Gorr.                        1      0      1
Introd. à l'Hist. du Buddh.                 1      0      1
Śāk. 93, 5, v. r.                           1      0      1
Śāk. 106, 10, v. r.                         1      0      1
Rām. 1, 40, sqq. Gorr.                      1      0      1
Berl. Monatsb. 1864, 412, i. e.             1      0      1
Rām. 1, 61, 21 Gorr.                        1      0      1
Daśak. 88, n. 2 Wils.                       1      0      1
Rām. 1, 11, 7 Gorr.                         1      0      1
Rām. 1, 15, 2 Gorr.                         1      0      1
Häberl. Chr.                                1      0      1
Rām. 2, 112, 7 Gorr.                        1      0      1
Śāk. d. 170, v. r.                          1      0      1
Rām. 2, 8, 42 Gorr.                         1      0      1
Rām. 2, 104, 9 Gorr.                        1      0      1
Rām. 2, 125, 20 Gorr.                       1      0      1
Rām. 1, 56, 27 Gorr.                        1      0      1
Rām. 1, 5, 8 Gorr.                          1      0      1
Man. 9, 314 v. r.                           1      0      1
Hit. 48, 3, M.M.                            1      0      1
Rām. 2, 40, 5 Gorr.                         1      0      1
Rām. 1, 59, 11 Gorr.                        1      0      1
Rām. 2, 8, 12 Gorr.                         1      0      1
Hit. 30, 10, M.M.                           1      0      1
Śāk. 38, 7 v. r.                            1      0      1
Rām. 2, 91, 11 Gorr.                        1      0      1
Hit. 77, 9, M.M.                            1      0      1
Rām. 2, 103, 11 Gorr.                       1      0      1
Śāk. 69, 23, v.r.                           1      0      1
Rām. 3, 75, 24, sqq.                        1      0      1
Arji Bordschi                               1      0      1
Śāk. d. 177, v. r.                          1      0      1
Hit. 19, 4, M.M.                            1      0      1
Vedāntas. in Chr. 216, 4, cf.               1      0      1
Rām. 2, 52, 5 Gorr.                         1      0      1
Hit. 85, 6, M.M.                            1      0      1
Pañc. 35, 1, i. e.                          1      0      1
Hit. 16, 5, M.M.                            1      0      1
Rām. 2, 69, 8, ed. Seramp.                  1      0      1
Rām. 1, 3, 30 Gorr.                         1      0      1
Rām. 2, 91, 10 Gorr.                        1      0      1
Rām. 2, 38, 13, v. r.                       1      0      1
Rām. 1, 68, 20 Gorr.                        1      0      1
Rām. 2, 90, 13 Gorr.                        1      0      1
Hind. Th. 2. ed. ii. 52, n.                 1      0      1
MBh. 3, 441, etc.,                          1      0      1
Hit. 16, 6, M.M.                            1      0      1
Rām. 2, 63, 36, ed. Seramp.                 1      0      1
Hit. 71, 2, M.M.                            1      0      1
Megh. 34, Sch.                              1      0      1
VS.                                         1      0      1
Bālab.                                      1      0      1
Rām. 2, 15, 34 Gorr.                        1      0      1
