Lnum	basehw	compound	resolution	in_sanhw1
3086	kalA	Niṣkala	nizkala	True
3086	kalA	Sa-kala	sa-kala	False
3102	kalevara	Duṣka˚	duzka˚	False
3103	kalka	Tila-	tilakalka	True
3109	kalpana	A-satkalpanā	a-satkalpanA	False
3111	kalmaza	A-	akalmaza	True
3111	kalmaza	Niṣkalmaṣa	nizkalmaza	True
3111	kalmaza	Vi-	vikalmaza	True
3111	kalmaza	Vi-gata-	vi-gatakalmaza	False
3111	kalmaza	Vīta-	vItakalmaza	True
3114	kalya	Ati-kalyam	ati-kalyam	False
3127	kavaca	Nārī-	nArIkavaca	True
3127	kavaca	Nivāta-	nivAtakavaca	True
3127	kavaca	Sa-	sakavaca	True
3135	kavi	Su-	sukavi	True
3136	kavitA	Su-	sukavitA	True
3142	kaSipu	Hiraṇya-	hiraRyakaSipu	True
3148	kaSyapa	Bhū-	BUkaSyapa	True
3153	kazAya	a-niṣkaṣāya	a-nizkazAya	False
3155	kazwa	Adhi-	aDikazwa	True
3159	kasmAt	A-	akasmAt	True
3164	kAka	Bhū-	BUkAka	True
3188	kAYcI	Sva-kara-avalambana-vi-mukta-galat-kala-kāñci	sva-kara-avalambana-vi-mukta-galat-kala-kAYci	False
3193	kARqa	A-	akARqa	True
3193	kARqa	Jaṅghā-	jaNGAkARqa	False
3193	kARqa	Danta-	dantakARqa	True
3194	kAtara	A-	akAtara	True
3194	kAtara	Sa-	sakAtara	True
3202	kAnana	Krīḍā-	krIqAkAnana	True
3202	kAnana	Maṇi-	maRikAnana	True
3209	kAnti	Sūrya-	sUryakAnti	True
3225	kAma	A-	akAma	True
3225	kAma	Artha-	arTakAma	True
3225	kAma	Niṣkāma	nizkAma	True
3225	kAma	Puṃs-	puMskAma	True
3225	kAma	Priya-	priyakAma	True
3225	kAma	Bandhu-	banDukAma	True
3225	kAma	Yathā-kāma + m	yaTA-kAma + m	False
3225	kAma	Vīta-	vItakAma	True
3225	kAma	Sa-	sakAma	True
3225	kAma	Svapna-	svapnakAma	True
3225	kAma	Hita-	hitakAma	True
3229	kAmagama	Sarva-	sarvakAmagama	True
3236	kAmatas	A-	akAmatas	True
3255	kAmin	A-	akAmin	True
3255	kAmin	Kāma-	kAmakAmin	True
3255	kAmin	Sarva-	sarvakAmin	True
3256	kAmuka	Vañcitāneka-	vaYcitAnekakAmuka	False
3260	kAmya	Itaretarakāmyā	itaretarakAmyA	True
3260	kAmya	Tvaddhitakāmyā	tvadDitakAmyA	False
3260	kAmya	Badha-kāmyā	baDa-kAmyA	False
3260	kAmya	Sarva-kāmya	sarva-kAmya	False
3260	kAmya	Hita-	hitakAmya	False
3263	kAya	Ati-	atikAya	True
3263	kAya	Pūrva-	pUrvakAya	True
3263	kAya	Yaśaḥ-kāya	yaSaH-kAya	False
3263	kAya	Svarṇa-	svarRakAya	True
3269	kAraRa	A-	akAraRa	True
3269	kAraRa	A-kāraṇam	a-kAraRam	False
3269	kAraRa	Anna-kāraṇam	anna-kAraRam	False
3269	kAraRa	Kārya-	kAryakAraRa	True
3269	kAraRa	Niṣkāraṇa	nizkAraRa	True
3269	kAraRa	Yatkāraṇam	yatkAraRam	True
3303	kArmuka	Bhīma-	BImakArmuka	True
3306	kArya	A-	akArya	True
3306	kArya	Agni-	agnikArya	True
3306	kArya	Udaka-	udakakArya	True
3306	kArya	Eka-	ekakArya	True
3306	kArya	Kṛta-	kftakArya	True
3306	kArya	Gṛka-	gfkakArya	False
3306	kArya	Carmakārya	carmakArya	True
3306	kArya	Deva-	devakArya	True
3306	kArya	Dharma-	DarmakArya	True
3306	kArya	Pitṛ-	pitfkArya	True
3306	kArya	Putra-	putrakArya	True
3306	kArya	Mitra-	mitrakArya	True
3306	kArya	Samūha-	samUhakArya	True
3323	kAla	A-	akAla	True
3323	kAla	Ādi-	AdikAla	True
3323	kAla	Ṛtu-	ftukAla	True
3323	kAla	Eka-kāla + m	eka-kAla + m	False
3323	kAla	Kārya-	kAryakAla	True
3323	kAla	Kṛta-	kftakAla	True
3323	kAla	Caturtha-kāla + m	caturTa-kAla + m	False
3323	kAla	Tad-kāla + m	tad-kAla + m	False
3323	kAla	Tāvatkāla + m	tAvatkAla + m	False
3323	kAla	Tri-	trikAla	True
3323	kAla	Duṣkāla	duzkAla	True
3323	kAla	Nitya-kāla + m	nitya-kAla + m	False
3323	kAla	Purva(n)-	purva(n)kAla	False
3323	kAla	Prāpta-kāla + m	prApta-kAla + m	False
3323	kAla	A-prāpta-kāla + m	a-prApta-kAla + m	False
3323	kAla	Yathā-kāla + m	yaTA-kAla + m	False
3323	kAla	Sa-kāla + m	sa-kAla + m	False
3323	kAla	Sūrya-	sUryakAla	True
3324	kAla	Bhadra-kālī	Badra-kAlI	False
3324	kAla	Mahā-	mahAkAla	True
3325	kAlaka	Tila-	tilakAlaka	True
3342	kAlika	A-kālika + m	a-kAlika + m	False
3342	kAlika	Aṣṭama-	azwamakAlika	True
3342	kAlika	Eka-kālika + m	eka-kAlika + m	False
3342	kAlika	Caturtha-	caturTakAlika	True
3342	kAlika	Niṣkālika	nizkAlika	True
3342	kAlika	Māsa-	mAsakAlika	True
3348	kAlinda	Yama-kālindī	yama-kAlindI	False
3359	kAvya	Mahā-	mahAkAvya	True
3376	kAzWa	Daṇḍa-	daRqakAzWa	True
3376	kAzWa	Danta-	dantakAzWa	True
3408	kit	A-	akit	True
3409	kitava	Dhūrta-	DUrtakitava	True
3415	kira	Mṛtkirā	mftkirA	True
3416	kiraRa	Tuṣāra-	tuzArakiraRa	True
3425	kilviza	Caura-	cOrakilviza	False
3425	kilviza	Rāma-	rAmakilviza	False
3433	kisalaya	Kara-	karakisalaya	True
3439	kIwa	Keśa-	keSakIwa	True
3439	kIwa	Pakṣikīṭa	pakzikIwa	True
3439	kIwa	Yama-	yamakIwa	True
3439	kIwa	Śūra-	SUrakIwa	True
3444	kIra	Vākkīra	vAkkIra	True
3447	kIrti	Divā-	divAkIrti	True
3447	kIrti	Duṣkīrti	duzkIrti	True
3451	kIla	Indra-	indrakIla	True
3451	kIla	Guda-	gudakIla	True
3451	kIla	Rata-	ratakIla	True
3465	kukkuwa	Grāma-	grAmakukkuwa	True
3465	kukkuwa	Jala-	jalakukkuwa	True
3465	kukkuwa	Vana-	vanakukkuwa	True
3476	kuYc	A-saṃkucita	a-saMkucita	False
3489	kuwI	Aśva-	aSvakuwI	True
3489	kuwI	Parṇa-	parRakuwI	True
3489	kuwI	Bhramatkuṭī	BramatkuwI	True
3492	kuwIraka	Tṛṇa-	tfRakuwIraka	True
3494	kuwumba	Vijaya-ratha-kuṭumba	vijaya-raTa-kuwumba	False
3497	kuwumbin	Ratha-	raTakuwumbin	True
3499	kuwwa	Kāṣṭha-	kAzWakuwwa	True
3499	kuwwa	Tāmra-	tAmrakuwwa	True
3502	kuwwima	Vastra-	vastrakuwwima	True
3515	kuRW	A-	akuRW	False
3516	kuRWa	A-	akuRWa	True
3519	kuRqa	Amṛta-	amftakuRqa	True
3519	kuRqa	Homa-	homakuRqa	True
3527	kutas	A-	akutas	True
3556	kumAra	Rājakumāra	rAjakumAra	True
3556	kumAra	Sanatk˚	sanatk˚	False
3556	kumAra	Su-	sukumAra	True
3568	kumBa	Agni-	agnikumBa	True
3568	kumBa	Āma-	AmakumBa	True
3568	kumBa	Udakumbha	udakumBa	True
3568	kumBa	Kuca-	kucakumBa	True
3568	kumBa	Tapta-	taptakumBa	True
3568	kumBa	Bhadra-	BadrakumBa	True
3568	kumBa	Vāta-	vAtakumBa	True
3568	kumBa	Śata-	SatakumBa	True
3588	kula	Anurūpa-	anurUpakula	False
3588	kula	Uccaiḥkula	uccEHkula	True
3588	kula	Utkula-	utkulakula	False
3588	kula	Go-	gokula	True
3588	kula	Daṇḍa-deva-	daRqa-devakula	False
3588	kula	Duṣkula	duzkula	True
3588	kula	Deva-	devakula	True
3588	kula	Niṣkula	nizkula	True
3588	kula	Nīcka-	nIckakula	False
3588	kula	Rājakula	rAjakula	True
3588	kula	Vāgdevī-	vAgdevIkula	True
3588	kula	Sa-	sakula	True
3590	kulaja	A-	akulaja	True
3604	kuliSa	Nakha-	naKakuliSa	False
3611	kulya	Sa-	sakulya	True
3612	kulyA	Ṛṣi-	fzikulyA	True
3612	kulyA	Deva-	devakulyA	True
3623	kuSala	A-	akuSala	True
3623	kuSala	Vaitāna-	vEtAnakuSala	True
3623	kuSala	Śastra-	SastrakuSala	True
3623	kuSala	Samudra-yāna-	samudra-yAnakuSala	False
3623	kuSala	Sarvārtha-	sarvArTakuSala	True
3623	kuSala	Svādhīna-	svADInakuSala	True
3639	kusuma	A-	akusuma	True
3647	kuhaka	A-	akuhaka	True
3654	kUja	A-	akUja	True
3654	kUja	Niṣkūja	nizkUja	True
3658	kUwa	A-	akUwa	True
3658	kUwa	Akṣa-	akzakUwa	True
3658	kUwa	Akṣi-	akzikUwa	True
3658	kUwa	Āmra-	AmrakUwa	True
3658	kUwa	Tri-	trikUwa	True
3658	kUwa	Niṣkūṭa	nizkUwa	True
3658	kUwa	Brahmakūṭa	brahmakUwa	True
3658	kUwa	Ratna-	ratnakUwa	True
3658	kUwa	Vamrī-	vamrIkUwa	True
3658	kUwa	Haṃsa-	haMsakUwa	True
3658	kUwa	Hima-	himakUwa	True
3664	kUwasTa	Strī-ratna-kūṭa-stha	strI-ratna-kUwa-sTa	False
3668	kUpa	ludba-	ludbakUpa	False
3668	kUpa	Romakūpa	romakUpa	True
3679	kUla	Dakṣiṇa-	dakziRakUla	False
3679	kUla	Prākkūla	prAkkUla	True
3685	kf	Akṛta	akfta	True
3685	kf	Duṣkṛta	duzkfta	True
3685	kf	Brahmāñjalikṛta	brahmAYjalikfta	True
3685	kf	Viśva-	viSvakf	False
3685	kf	Saha-	sahakf	False
3685	kf	Su-	sukf	False
3685	kf	Svayam-	svayamkf	False
3685	kf	Hāhā-	hAhAkf	False
3693	kfcCra	Ati-	atikfcCra	True
3693	kfcCra	Na atikṛcchrāt	na atikfcCrAt	False
3693	kfcCra	Kṛcchrātikṛcchra	kfcCrAtikfcCra	True
3693	kfcCra	Artha-kṛcchra	arTa-kfcCra	False
3693	kfcCra	Tapta-	taptakfcCra	True
3693	kfcCra	Dharma-	DarmakfcCra	True
3693	kfcCra	Parṇa-	parRakfcCra	True
3693	kfcCra	Prāṇa-	prARakfcCra	True
3693	kfcCra	Saumya-	sOmyakfcCra	True
3700	kftaka	A-	akftaka	True
3700	kftaka	Putra-	putrakftaka	True
3709	kfti	Cala-	calakfti	True
3709	kfti	Duṣkṛti	duzkfti	True
3709	kfti	Su-	sukfti	True
3710	kftin	Duṣkṛtin	duzkftin	True
3710	kftin	Su-	sukftin	True
3716	kftya	A-	akftya	True
3716	kftya	Abhyupetārtha-	aByupetArTakftya	False
3716	kftya	Artha-	arTakftya	True
3716	kftya	Asat-	asatkftya	True
3716	kftya	Kṛta-	kftakftya	True
3716	kftya	Gṛha-	gfhakftya	True
3716	kftya	Bhūti-	BUtikftya	True
3716	kftya	Śīghra-	SIGrakftya	True
3719	kftrima	A-	akftrima	True
3726	kfpaRa	Sa-kṛpaṇa	sa-kfpaRa	False
3728	kfpA	Sa-kṛpa + m	sa-kfpa + m	False
3738	kfSa	A-	akfSa	True
3738	kfSa	Ati-	atikfSa	True
3742	kfz	Indra-	indrakfz	False
3742	kfz	Phāla-	PAlakfz	False
3747	kfzRa	Ati-	atikfzRa	True
3759	kxp	Kṣura-	kzurakxp	False
3760	kxpti	Yathā-kḷpti	yaTA-kxpti	False
3767	ketana	Kapi-	kapiketana	True
3767	ketana	Jhaṣa-, makara-	Jaza-, makaraketana	False
3768	ketu	Agni-	agniketu	True
3768	ketu	Tāla-	tAlaketu	True
3768	ketu	Dhūma-	DUmaketu	True
3768	ketu	Dhṛṣṭa-	Dfzwaketu	True
3768	ketu	Makara-	makaraketu	True
3770	kedAra	Eka-	ekakedAra	False
3776	keli	Vāta-	vAtakeli	True
3776	keli	Hemak˚	hemak˚	False
3780	keSa	Bhūta-	BUtakeSa	True
3780	keSa	Miśra-keśī	miSra-keSI	False
3780	keSa	Mukta-	muktakeSa	True
3780	keSa	Muñja-	muYjakeSa	True
3780	keSa	vi-	vikeSa	True
3780	keSa	Vyomak˚	vyomak˚	False
3780	keSa	Vi-kīrṇa-	vi-kIrRakeSa	False
3780	keSa	Śukla-	SuklakeSa	True
3780	keSa	Su-	sukeSa	True
3781	keSara	Karāla-	karAlakeSara	True
3781	keSara	Nāga-	nAgakeSara	True
3783	keSarin	Puruṣa-	puruzakeSarin	True
3784	keSava	Go-pāla-	go-pAlakeSava	False
3789	keSin	Dhāmakeśin	DAmakeSin	True
3789	keSin	Muñja-	muYjakeSin	True
3811	kokila	Puṃs-	puMskokila	True
3827	koRa	Sūtra-	sUtrakoRa	True
3831	kopa	Antaḥkopa	antaHkopa	True
3831	kopa	Krīḍā-	krIqAkopa	True
3831	kopa	Mithyā-	miTyAkopa	True
3831	kopa	Mṛga-	mfgakopa	False
3831	kopa	Sa-kopa	sa-kopa	False
3831	kopa	Sa-kopa + m	sa-kopa + m	False
3832	kopana	A-	akopana	True
3845	koSa	A-koṣa	a-koza	False
3845	koSa	Annamaya-	annamayakoSa	True
3845	koSa	Jātī-	jAtIkoSa	True
3845	koSa	Dharma-	DarmakoSa	True
3845	koSa	Madhu-	maDukoSa	True
3845	koSa	Vi-	vikoSa	True
3845	koSa	Viṣāṇa-koṣa	vizARa-koza	False
3866	kOtuka	Krīḍā-	krIqAkOtuka	True
3866	kOtuka	Vi-	vikOtuka	True
3902	kOstuBa	Sa-kirīṭa-kaustubha	sa-kirIwa-kOstuBa	False
3911	kratu	Vara-	varakratu	True
3911	kratu	Śata-	Satakratu	True
3920	kram	Tri-	trikram	False
3920	kram	prakrānta	prakrAnta	True
3920	kram	vikrānta	vikrAnta	True
3920	kram	Bhīma-	BImakram	False
3920	kram	Su-	sukram	False
3921	krama	A-	akrama	True
3921	krama	Kāla-	kAlakrama	True
3921	krama	Madhu-	maDukrama	True
3921	krama	Yathā-krama + m	yaTA-krama + m	False
3921	krama	Śaikṣya-guṇa-krama	SEkzya-guRa-krama	False
3921	krama	Samākṣarapadakrama	samAkzarapadakrama	True
3933	kravyAd	A-	akravyAd	True
3934	kravyAda	A-	akravyAda	True
3937	kriyA	Agni-	agnikriyA	True
3937	kriyA	Atithi-	atiTikriyA	True
3937	kriyA	Udaka-	udakakriyA	True
3937	kriyA	Kṛta-kriya	kfta-kriya	False
3937	kriyA	Kautuka-kriyā	kOtuka-kriyA	False
3937	kriyA	Citra-	citrakriyA	True
3937	kriyA	Jala-	jalakriyA	True
3937	kriyA	Dāra-	dArakriyA	True
3937	kriyA	Dharma-	DarmakriyA	True
3937	kriyA	Niṣkriya	nizkriya	True
3937	kriyA	Nirahaṃkriyā	nirahaMkriyA	True
3937	kriyA	Laghu-	laGukriyA	True
3937	kriyA	Vaśa-	vaSakriyA	True
3937	kriyA	Vikarmakriyā	vikarmakriyA	True
3937	kriyA	Sa-kriya	sa-kriya	False
3937	kriyA	Hīna-	hInakriyA	False
3938	kriyAvant	Turaga-kriyā + vant	turaga-kriyA + vant	False
3941	krIqana	Udaka-	udakakrIqana	True
3945	krIqA	Jala-	jalakrIqA	True
3945	krIqA	Toya-	toyakrIqA	True
3945	krIqA	Vapra	vapra	True
3956	krUra	A-	akrUra	True
3956	krUra	Danta-krūra + m	danta-krUra + m	False
3961	kroDa	A-	akroDa	True
3961	kroDa	Sa-	sakroDa	True
3962	kroDana	A-	akroDana	True
3962	kroDana	Sa-	sakroDana	True
3974	klama	Gata-	gataklama	True
3979	kliS	A-	akliS	False
3981	klIba	A-	aklIba	True
3982	klIbatA	A-	aklIbatA	True
3987	kleSa	A-	akleSa	True
3987	kleSa	Garbha-	garBakleSa	True
3999	kzaR	A-	akzaR	False
3999	kzaR	ati-pari-kṣata	ati-pari-kzata	False
3999	kzaR	vikṣata	vikzata	True
4000	kzaRa	Kim-	kimkzaRa	False
4000	kzaRa	Kṛta-	kftakzaRa	True
4000	kzaRa	Tatkṣaṇam	tatkzaRam	True
4000	kzaRa	Vastu-kṣaṇāt	vastu-kzaRAt	False
4000	kzaRa	Sa-	sakzaRa	True
4000	kzaRa	Svayaṃvara-kṛta-	svayaMvara-kftakzaRa	False
4010	kzatra	A-	akzatra	True
4012	kzatriya	Niḥkṣatriya	niHkzatriya	True
4025	kzama	Āyati-	Ayatikzama	True
4025	kzama	Upabhoga-	upaBogakzama	True
4025	kzama	Kālāntara-	kAlAntarakzama	True
4025	kzama	Dṛṣṭi-	dfzwikzama	True
4025	kzama	Deśa-kāla-	deSa-kAlakzama	False
4025	kzama	Vana-vāsa-	vana-vAsakzama	False
4031	kzaya	Dina-	dinakzaya	True
4031	kzaya	Dhana-	Danakzaya	True
4031	kzaya	Sarva-duḥkha-	sarva-duHKakzaya	False
4031	kzaya	Sva-kula-	sva-kulakzaya	False
4037	kzayya	A-	akzayya	True
4048	kzAra	Yava-	yavakzAra	True
4053	kzi	A-kṣita	a-kzita	False
4083	kzud	A-kṣuṇṇa	a-kzuRRa	False
4084	kzudra	A-	akzudra	True
4101	kzetra	A-	akzetra	True
4101	kzetra	Karmakṣetra	karmakzetra	True
4101	kzetra	Kuru-	kurukzetra	True
4101	kzetra	Dharma-	Darmakzetra	True
4101	kzetra	Raṇa-	raRakzetra	True
4101	kzetra	Sura-īśvarī-	sura-ISvarIkzetra	False
4107	kzetrin	A-	akzetrin	True
4108	kzepa	Kāla-	kAlakzepa	True
4108	kzepa	A-kālakṣepa + m	a-kAlakzepa + m	False
4108	kzepa	paṭākṣepa	pawAkzepa	True
4108	kzepa	Apaṭī-kṣepa	apawI-kzepa	False
4108	kzepa	Bhrū-	BrUkzepa	True
4108	kzepa	Sa-dṛṣṭi-kṣepa + m	sa-dfzwi-kzepa + m	False
4112	kzema	Yoga-	yogakzema	True
4144	kzveqa	Sthūla-kṣveḍa	sTUla-kzveqa	False
4168	Kaqga	Kūṭa-	kUwaKaqga	True
4168	Kaqga	Sa-	saKaqga	True
4173	KaRqa	A-	aKaRqa	True
4173	KaRqa	Karpūra-	karpUraKaRqa	False
4173	KaRqa	Padminī-	padminIKaRqa	True
4173	KaRqa	Śata-	SataKaRqa	True
4173	KaRqa	Śrī-	SrIKaRqa	True
4181	Kan	Deva-	devaKan	False
4190	Kara	Ati-	atiKara	True
4193	KarjUra	Piṇḍa-	piRqaKarjUra	True
4224	KAdi	Su-	suKAdi	True
4233	Kila	A-	aKila	True
4233	Kila	˚lena	˚lena	False
4240	Kura	Aśva-	aSvaKura	True
4251	Kela	Sa-khela + m	sa-Kela + m	False
4261	KyAti	Su-	suKyAti	True
4272	gaNgA	Vyomagaṅgā	vyomagaNgA	True
4272	gaNgA	Pātāla-	pAtAlagaNgA	True
4274	gaja	Araṇya-	araRyagaja	True
4274	gaja	Āśā-	ASAgaja	True
4274	gaja	Diggaja	diggaja	True
4274	gaja	Mahā-	mahAgaja	True
4274	gaja	Vana-	vanagaja	True
4274	gaja	Sura-	suragaja	True
4286	gaRa	Tārā-	tArAgaRa	True
4286	gaRa	Trastarakṣogaṇa	trastarakzogaRa	False
4286	gaRa	Sendragaṇa	sendragaRa	True
4286	gaRa	Hari-	harigaRa	True
4294	gaRin	Śvagaṇin	SvagaRin	True
4298	gaRqa	Gala-	galagaRqa	True
4299	gaRqaka	Sūtra-gaṇḍikā	sUtra-gaRqikA	False
4303	gati	A-	agati	True
4303	gati	Adhogati	aDogati	True
4303	gati	A-vi-hata-	a-vi-hatagati	False
4303	gati	Ākāśa-	AkASagati	True
4303	gati	Ātmagati	Atmagati	True
4303	gati	Ūrdhva-	UrDvagati	True
4303	gati	Kāma-	kAmagati	True
4303	gati	Kṛṣṇa-	kfzRagati	True
4303	gati	Gagaṇa-	gagaRagati	True
4303	gati	Dus-	dusgati	False
4303	gati	Daiva-	dEvagati	True
4303	gati	Sadā-	sadAgati	True
4305	gad	A-	agad	False
4307	gada	A-gada	a-gada	False
4309	gadgada	Sa-gadgada + m	sa-gadgada + m	False
4309	gadgada	Haṃsa-	haMsagadgada	False
4312	ganDa	Dus-	dusganDa	False
4312	ganDa	Nis-	nisganDa	False
4312	ganDa	Pūti-	pUtiganDa	True
4312	ganDa	Matsya-	matsyaganDa	True
4312	ganDa	Yojana-	yojanaganDa	True
4312	ganDa	Sa-	saganDa	True
4312	ganDa	Su-	suganDa	True
4316	ganDarva	Sa-	saganDarva	True
4316	ganDarva	Deva-	devaganDarva	True
4321	ganDika	Tri-su-	tri-suganDika	False
4322	ganDin	Su-	suganDin	True
4326	gam	Tad-	tadgam	False
4326	gam	Tiryaggata	tiryaggata	True
4326	gam	Dus-	dusgam	False
4326	gam	Dhūrgata	DUrgata	True
4326	gam	Payas-	payasgam	False
4326	gam	Manas-	manasgam	False
4326	gam	Yathā-gata + m	yaTA-gata + m	False
4326	gam	Vayas-	vayasgam	False
4326	gam	Sarva-	sarvagam	True
4326	gam	Su-	sugam	True
4327	gama	A-	agama	True
4327	gama	Durgama	durgama	True
4327	gama	Pakṣa-	pakzagama	True
4327	gama	Su-	sugama	True
4328	gamana	Adhogamana	aDogamana	True
4328	gamana	Anta-	antagamana	True
4328	gamana	Antarā-	antarAgamana	True
4328	gamana	Asta-	astagamana	True
4328	gamana	Saha-	sahagamana	True
4333	gara	Bhū-	BUgara	True
4340	garut	Śveta-	Svetagarut	True
4352	garBa	Gṛhīta-	gfhItagarBa	False
4352	garBa	Jāra-	jAragarBa	True
4352	garBa	Deva-	devagarBa	True
4352	garBa	Mati-	matigarBa	True
4352	garBa	Ratna-	ratnagarBa	True
4352	garBa	Śamī-	SamIgarBa	True
4352	garBa	Sa-	sagarBa	True
4352	garBa	Sura-	suragarBa	True
4352	garBa	Soma-	somagarBa	True
4352	garBa	Sravadgarbhā	sravadgarBA	True
4352	garBa	Sva-	svagarBa	True
4352	garBa	Hima-	himagarBa	True
4352	garBa	Hiraṇya-	hiraRyagarBa	True
4359	garva	Dhana-	Danagarva	True
4359	garva	Sa-	sagarva	True
4361	garvita	Pari-	parigarvita	True
4362	garh	A-	agarh	False
4383	gavya	Pañcagavya	paYcagavya	True
4403	gAtra	Romāñcita-	romAYcitagAtra	False
4403	gAtra	Vara-	varagAtra	True
4410	gADa	A-	agADa	True
4410	gADa	Dus-	dusgADa	False
4416	gAnDarva	Yuddha-	yudDagAnDarva	True
4421	gAmin	Agra-	agragAmin	True
4421	gAmin	Anta-	antagAmin	True
4421	gAmin	Ṛtu-	ftugAmin	True
4421	gAmin	Kubja-	kubjagAmin	True
4447	gAh	Dus-gāḍha	dus-gAQa	False
4452	giri	Antar-	antargiri	True
4452	giri	Asta-	astagiri	True
4452	giri	Kāñcana-	kAYcanagiri	True
4452	giri	Kula-	kulagiri	True
4452	giri	Tuṣāra-	tuzAragiri	True
4452	giri	Deva-, dhūmra-, rāma-	deva-, DUmra-, rAmagiri	False
4452	giri	Vahirgiri	vahirgiri	False
4452	giri	Svar-	svargiri	True
4468	gucCa	Romaguccha	romagucCa	True
4475	guqa	Ayoguḍa	ayoguqa	True
4478	guR	Dvi-	dviguR	False
4479	guRa	A-	aguRa	True
4479	guRa	Ati-	atiguRa	True
4479	guRa	Tathā-	taTAguRa	True
4479	guRa	Tri-	triguRa	True
4479	guRa	Nis-	nisguRa	False
4479	guRa	Muktā-	muktAguRa	True
4479	guRa	Vi-	viguRa	True
4479	guRa	Viveka-vi-	viveka-viguRa	False
4479	guRa	Viśeṣa-	viSezaguRa	True
4479	guRa	Śruti-viṣaya-	Sruti-vizayaguRa	False
4479	guRa	Sa-	saguRa	True
4487	guRavant	A-	aguRavant	True
4489	guRin	Su-	suguRin	True
4498	gup	Deva-	devagup	False
4498	gup	Nābhi-	nABigup	False
4498	gup	Parva(n)-	parva(n)gup	False
4498	gup	Su-gupta	su-gupta	False
4501	gupti	Ratha-	raTagupti	True
4501	gupti	Su-	sugupti	True
4504	guru	Ati-	atiguru	True
4504	guru	Indra-	indraguru	True
4504	guru	Gaurī-	gOrIguru	True
4504	guru	Jagat-	jagatguru	False
4504	guru	Sura-	suraguru	True
4517	gulPa	Ucca-	uccagulPa	False
4518	gulma	Nis-	nisgulma	False
4518	gulma	Vāta-	vAtagulma	True
4518	gulma	Vāyu-	vAyugulma	True
4519	guh	Mantra-	mantraguh	False
4519	guh	Sa-gūḍha + m	sa-gUQa + m	False
4537	gfDnu	A-	agfDnu	True
4546	gfha	Su-gṛha	su-gfha	False
4546	gfha	Antar-	antargfha	True
4546	gfha	Kārā-	kArAgfha	True
4546	gfha	Kula-	kulagfha	True
4546	gfha	Kośa-	koSagfha	True
4546	gfha	Krīḍā-	krIqAgfha	True
4546	gfha	Garbha-	garBagfha	True
4546	gfha	Citra-	citragfha	True
4546	gfha	Chatra-	Catragfha	False
4546	gfha	Jatu-	jatugfha	True
4546	gfha	Deva-	devagfha	True
4546	gfha	Devī-	devIgfha	True
4546	gfha	Devī-garbha-	devI-garBagfha	False
4546	gfha	Dhārā-	DArAgfha	True
4546	gfha	Niśā-	niSAgfha	True
4546	gfha	Bhoga-	Bogagfha	True
4546	gfha	Yantra-	yantragfha	True
4546	gfha	Latā-	latAgfha	True
4546	gfha	Vastra-	vastragfha	True
4546	gfha	Vāsa-	vAsagfha	True
4546	gfha	Śānti-	SAntigfha	True
4546	gfha	Śiras-	Sirasgfha	False
4567	geha	Jatu-	jatugeha	True
4569	gE	Upāṅga-gīta	upANga-gIta	False
4569	gE	Bhagavadgītā	BagavadgItA	True
4570	gErika	Kāñcana-	kAYcanagErika	True
4570	gErika	Svarṇa-	svarRagErika	True
4575	gocara	Locana-	locanagocara	True
4575	gocara	A-locana-	a-locanagocara	False
4579	gotra	Sa-	sagotra	True
4586	goDA	Kṛṣṇa-	kfzRagoDA	True
4594	goptf	Cakra-	cakragoptf	True
4602	gola	Bhū-	BUgola	True
4605	govinda	Gīta-	gItagovinda	True
4609	gozWa	Pañcavīra-	paYcavIragozWa	True
4613	gozpada	Saṃyuga-	saMyugagozpada	True
4620	gOrava	Nis-	nisgOrava	False
4625	granTa	Tarka-	tarkagranTa	True
4625	granTa	Nis-	nisgranTa	False
4626	granTi	Suvarṇa-	suvarRagranTi	True
4626	granTi	Māna-	mAnagranTi	True
4636	graha	A-	agraha	True
4636	graha	Aṅkuśa-	aNkuSagraha	True
4636	graha	Kuñjara-	kuYjaragraha	True
4636	graha	Keśa-	keSagraha	True
4636	graha	Dus-	dusgraha	False
4636	graha	Deva-	devagraha	True
4636	graha	Dhanus-	Danusgraha	False
4636	graha	Nava-	navagraha	True
4636	graha	Nāmajāti-	nAmajAtigraha	True
4636	graha	Pāṇi-	pARigraha	True
4636	graha	Śabda-	Sabdagraha	True
4636	graha	Sūtra-	sUtragraha	True
4636	graha	Sūrya-	sUryagraha	True
4636	graha	Hrada-	hradagraha	True
4637	grahaRa	Keśa-	keSagrahaRa	True
4637	grahaRa	Cakṣus-	cakzusgrahaRa	False
4637	grahaRa	Dāra-	dAragrahaRa	True
4637	grahaRa	Dūra-	dUragrahaRa	True
4637	grahaRa	Pāṇi-	pARigrahaRa	True
4642	grahItf	Pāṇi-	pARigrahItf	True
4644	grAma	Indriya-	indriyagrAma	True
4644	grAma	Guṇa-	guRagrAma	True
4644	grAma	Tri-grāmī	tri-grAmI	False
4644	grAma	Daśagrāmī	daSagrAmI	True
4644	grAma	Sāla-	sAlagrAma	True
4653	grAmIRa	Eka-	ekagrAmIRa	True
4656	grAmya	A-	agrAmya	True
4657	grAvan	Nikaṣa-	nikazagrAvan	True
4659	grAha	Jīva-grāha + m	jIva-grAha + m	False
4659	grAha	Dhanus-	DanusgrAha	False
