OrigL	AssignedL
836.XYZ	836.002
840.XYZ	840.002
841.XYZ	841.002
849.XYZ	849.002
853.XYZ	853.002
854.XYZ	854.002
858.XYZ	858.002
865.XYZ	865.002
865.XYZ	865.004
876.XYZ	876.002
878.XYZ	878.002
904.XYZ	904.002
904.XYZ	904.004
911.XYZ	911.002
911.XYZ	911.004
911.XYZ	911.006
921.XYZ	921.002
928.XYZ	928.002
928.XYZ	928.004
932.XYZ	932.002
932.XYZ	932.004
932.XYZ	932.006
937.XYZ	937.002
937.XYZ	937.004
939.XYZ	939.002
941.XYZ	941.002
941.XYZ	941.004
941.XYZ	941.006
942.XYZ	942.002
952.XYZ	952.002
952.XYZ	952.004
952.XYZ	952.006
952.XYZ	952.008
952.XYZ	952.010
954.XYZ	954.002
970.XYZ	970.002
970.XYZ	970.004
980.XYZ	980.002
1000.XYZ	1000.002
1000.XYZ	1000.004
1000.XYZ	1000.006
1000.XYZ	1000.008
1001.XYZ	1001.002
1001.XYZ	1001.004
1004.XYZ	1004.002
1004.XYZ	1004.004
1006.XYZ	1006.002
1011.XYZ	1011.002
1014.XYZ	1014.002
1014.XYZ	1014.004
1014.XYZ	1014.006
1014.XYZ	1014.008
1020.XYZ	1020.002
1020.XYZ	1020.004
1020.XYZ	1020.006
1023.XYZ	1023.002
1023.XYZ	1023.004
1023.XYZ	1023.006
1023.XYZ	1023.008
1023.XYZ	1023.010
1023.XYZ	1023.012
1023.XYZ	1023.014
1023.XYZ	1023.016
1023.XYZ	1023.018
1023.XYZ	1023.020
1023.XYZ	1023.022
1023.XYZ	1023.024
1023.XYZ	1023.026
1023.XYZ	1023.028
1023.XYZ	1023.030
1023.XYZ	1023.032
1023.XYZ	1023.034
1023.XYZ	1023.036
1023.XYZ	1023.038
1023.XYZ	1023.040
1023.XYZ	1023.042
1032.XYZ	1032.002
1034.XYZ	1034.002
1035.XYZ	1035.002
1035.XYZ	1035.004
1035.XYZ	1035.006
1035.XYZ	1035.008
1035.XYZ	1035.010
1035.XYZ	1035.012
1035.XYZ	1035.014
1035.XYZ	1035.016
1039.XYZ	1039.002
1042.XYZ	1042.002
1047.XYZ	1047.002
1050.XYZ	1050.002
1064.XYZ	1064.002
1064.XYZ	1064.004
1064.XYZ	1064.006
1064.XYZ	1064.008
1064.XYZ	1064.010
1064.XYZ	1064.012
1064.XYZ	1064.014
1069.XYZ	1069.002
1081.XYZ	1081.002
1095.XYZ	1095.002
1095.XYZ	1095.004
1095.XYZ	1095.006
1106.XYZ	1106.002
1106.XYZ	1106.004
1112.XYZ	1112.002
1112.XYZ	1112.004
1118.XYZ	1118.002
1118.XYZ	1118.004
1127.XYZ	1127.002
1127.XYZ	1127.004
1131.XYZ	1131.002
1132.XYZ	1132.002
1140.XYZ	1140.002
1142.XYZ	1142.002
1142.XYZ	1142.004
1143.XYZ	1143.002
1145.XYZ	1145.002
1145.XYZ	1145.004
1161.XYZ	1161.002
1163.XYZ	1163.002
1168.XYZ	1168.002
1178.XYZ	1178.002
1183.XYZ	1183.002
1186.XYZ	1186.002
1186.XYZ	1186.004
1186.XYZ	1186.006
1186.XYZ	1186.008
1186.XYZ	1186.010
1187.XYZ	1187.002
1187.XYZ	1187.004
1188.XYZ	1188.002
1193.XYZ	1193.002
1193.XYZ	1193.004
1199.XYZ	1199.002
1199.XYZ	1199.004
1199.XYZ	1199.006
1199.XYZ	1199.008
1202.XYZ	1202.002
1207.XYZ	1207.002
1207.XYZ	1207.004
1208.XYZ	1208.002
1218.XYZ	1218.002
1218.XYZ	1218.004
1218.XYZ	1218.006
1219.XYZ	1219.002
1221.XYZ	1221.002
1224.XYZ	1224.002
1231.XYZ	1231.002
1232.XYZ	1232.002
1232.XYZ	1232.004
1239.XYZ	1239.002
1239.XYZ	1239.004
1239.XYZ	1239.006
1239.XYZ	1239.008
1239.XYZ	1239.010
1239.XYZ	1239.012
1239.XYZ	1239.014
1239.XYZ	1239.016
1239.XYZ	1239.018
1244.XYZ	1244.002
1244.XYZ	1244.004
1249.XYZ	1249.002
1250.XYZ	1250.002
1250.XYZ	1250.004
1250.XYZ	1250.006
1250.XYZ	1250.008
1255.XYZ	1255.002
1257.XYZ	1257.002
1260.XYZ	1260.002
1260.XYZ	1260.004
1260.XYZ	1260.006
1260.XYZ	1260.008
1260.XYZ	1260.010
1260.XYZ	1260.012
1260.XYZ	1260.014
1260.XYZ	1260.016
1273.XYZ	1273.002
1273.XYZ	1273.004
1276.XYZ	1276.002
1286.XYZ	1286.002
1287.XYZ	1287.002
1287.XYZ	1287.004
1290.XYZ	1290.002
1290.XYZ	1290.004
1295.XYZ	1295.002
1295.XYZ	1295.004
1296.XYZ	1296.002
1298.XYZ	1298.002
1299.XYZ	1299.002
1300.XYZ	1300.002
1300.XYZ	1300.004
1302.XYZ	1302.002
1306.XYZ	1306.002
1306.XYZ	1306.004
1306.XYZ	1306.006
1306.XYZ	1306.008
1306.XYZ	1306.010
1322.XYZ	1322.002
1323.XYZ	1323.002
1323.XYZ	1323.004
1331.XYZ	1331.002
1341.XYZ	1341.002
1342.XYZ	1342.002
1342.XYZ	1342.004
1342.XYZ	1342.006
1347.XYZ	1347.002
1351.XYZ	1351.002
1352.XYZ	1352.002
1352.XYZ	1352.004
1352.XYZ	1352.006
1352.XYZ	1352.008
1356.XYZ	1356.002
1360.XYZ	1360.002
1360.XYZ	1360.004
1360.XYZ	1360.006
1364.XYZ	1364.002
1366.XYZ	1366.002
1366.XYZ	1366.004
1369.XYZ	1369.002
1369.XYZ	1369.004
1372.XYZ	1372.002
1375.XYZ	1375.002
1376.XYZ	1376.002
1378.XYZ	1378.002
1378.XYZ	1378.004
1380.XYZ	1380.002
1383.XYZ	1383.002
1383.XYZ	1383.004
1383.XYZ	1383.006
1390.XYZ	1390.002
1394.XYZ	1394.002
1394.XYZ	1394.004
1394.XYZ	1394.006
1394.XYZ	1394.008
1394.XYZ	1394.010
1394.XYZ	1394.012
1394.XYZ	1394.014
1394.XYZ	1394.016
1394.XYZ	1394.018
1395.XYZ	1395.002
1399.XYZ	1399.002
1399.XYZ	1399.004
1399.XYZ	1399.006
1399.XYZ	1399.008
1402.XYZ	1402.002
1402.XYZ	1402.004
1402.XYZ	1402.006
1402.XYZ	1402.008
1402.XYZ	1402.010
1402.XYZ	1402.012
1402.XYZ	1402.014
1402.XYZ	1402.016
1402.XYZ	1402.018
1402.XYZ	1402.020
1402.XYZ	1402.022
1402.XYZ	1402.024
1402.XYZ	1402.026
1407.XYZ	1407.002
1410.XYZ	1410.002
1410.XYZ	1410.004
1410.XYZ	1410.006
1420.XYZ	1420.002
1420.XYZ	1420.004
1420.XYZ	1420.006
1420.XYZ	1420.008
1420.XYZ	1420.010
1422.XYZ	1422.002
1423.XYZ	1423.002
1423.XYZ	1423.004
1436.XYZ	1436.002
1436.XYZ	1436.004
1438.XYZ	1438.002
1440.XYZ	1440.002
1443.XYZ	1443.002
1449.XYZ	1449.002
1452.XYZ	1452.002
1455.XYZ	1455.002
1455.XYZ	1455.004
1457.XYZ	1457.002
1457.XYZ	1457.004
1457.XYZ	1457.006
1458.XYZ	1458.002
1463.XYZ	1463.002
1469.XYZ	1469.002
1469.XYZ	1469.004
1469.XYZ	1469.006
1470.XYZ	1470.002
1471.XYZ	1471.002
1471.XYZ	1471.004
1471.XYZ	1471.006
1471.XYZ	1471.008
1471.XYZ	1471.010
1471.XYZ	1471.012
1471.XYZ	1471.014
1471.XYZ	1471.016
1471.XYZ	1471.018
1471.XYZ	1471.020
1471.XYZ	1471.022
1471.XYZ	1471.024
1471.XYZ	1471.026
1471.XYZ	1471.028
1471.XYZ	1471.030
1471.XYZ	1471.032
1471.XYZ	1471.034
1471.XYZ	1471.036
1471.XYZ	1471.038
1471.XYZ	1471.040
1471.XYZ	1471.042
1471.XYZ	1471.044
1471.XYZ	1471.046
1471.XYZ	1471.048
1478.XYZ	1478.002
1481.XYZ	1481.002
1488.XYZ	1488.002
1488.XYZ	1488.004
1488.XYZ	1488.006
1490.XYZ	1490.002
1491.XYZ	1491.002
1491.XYZ	1491.004
1491.XYZ	1491.006
1491.XYZ	1491.008
1496.XYZ	1496.002
1497.XYZ	1497.002
1497.XYZ	1497.004
1501.XYZ	1501.002
1506.XYZ	1506.002
1510.XYZ	1510.002
1513.XYZ	1513.002
1514.XYZ	1514.002
1514.XYZ	1514.004
1516.XYZ	1516.002
1525.XYZ	1525.002
1528.XYZ	1528.002
1528.XYZ	1528.004
1528.XYZ	1528.006
1528.XYZ	1528.008
1528.XYZ	1528.010
1528.XYZ	1528.012
1531.XYZ	1531.002
1531.XYZ	1531.004
1560.XYZ	1560.002
1562.XYZ	1562.002
1564.XYZ	1564.002
1566.XYZ	1566.002
1568.XYZ	1568.002
1568.XYZ	1568.004
1573.XYZ	1573.002
1573.XYZ	1573.004
1578.XYZ	1578.002
1583.XYZ	1583.002
1583.XYZ	1583.004
1583.XYZ	1583.006
1584.XYZ	1584.002
1585.XYZ	1585.002
1586.XYZ	1586.002
1589.XYZ	1589.002
1589.XYZ	1589.004
1596.XYZ	1596.002
1597.XYZ	1597.002
1599.XYZ	1599.002
1603.XYZ	1603.002
1603.XYZ	1603.004
1603.XYZ	1603.006
1612.XYZ	1612.002
1612.XYZ	1612.004
1618.XYZ	1618.002
1620.XYZ	1620.002
1622.XYZ	1622.002
1625.XYZ	1625.002
1633.XYZ	1633.002
1637.XYZ	1637.002
1637.XYZ	1637.004
1637.XYZ	1637.006
1637.XYZ	1637.008
1637.XYZ	1637.010
1637.XYZ	1637.012
1637.XYZ	1637.014
1637.XYZ	1637.016
1637.XYZ	1637.018
1644.XYZ	1644.002
1645.XYZ	1645.002
1645.XYZ	1645.004
1645.XYZ	1645.006
1645.XYZ	1645.008
1645.XYZ	1645.010
1645.XYZ	1645.012
1657.XYZ	1657.002
1657.XYZ	1657.004
1657.XYZ	1657.006
1667.XYZ	1667.002
1674.XYZ	1674.002
1674.XYZ	1674.004
1678.XYZ	1678.002
1679.XYZ	1679.002
1679.XYZ	1679.004
1679.XYZ	1679.006
1679.XYZ	1679.008
1679.XYZ	1679.010
1679.XYZ	1679.012
1681.XYZ	1681.002
1681.XYZ	1681.004
1681.XYZ	1681.006
1684.XYZ	1684.002
1686.XYZ	1686.002
1687.XYZ	1687.002
1689.XYZ	1689.002
1690.XYZ	1690.002
1693.XYZ	1693.002
1695.XYZ	1695.002
1700.XYZ	1700.002
1700.XYZ	1700.004
1700.XYZ	1700.006
1700.XYZ	1700.008
1700.XYZ	1700.010
1701.XYZ	1701.002
1703.XYZ	1703.002
1705.XYZ	1705.002
1705.XYZ	1705.004
1705.XYZ	1705.006
1705.XYZ	1705.008
1705.XYZ	1705.010
1705.XYZ	1705.012
1710.XYZ	1710.002
1713.XYZ	1713.002
1719.XYZ	1719.002
1719.XYZ	1719.004
1719.XYZ	1719.006
1719.XYZ	1719.008
1728.XYZ	1728.002
1728.XYZ	1728.004
1729.XYZ	1729.002
1729.XYZ	1729.004
1729.XYZ	1729.006
1729.XYZ	1729.008
1729.XYZ	1729.010
1729.XYZ	1729.012
1729.XYZ	1729.014
1729.XYZ	1729.016
1729.XYZ	1729.018
1735.XYZ	1735.002
1737.XYZ	1737.002
1737.XYZ	1737.004
1738.XYZ	1738.002
1739.XYZ	1739.002
1741.XYZ	1741.002
1743.XYZ	1743.002
1743.XYZ	1743.004
1749.XYZ	1749.002
1756.XYZ	1756.002
1756.XYZ	1756.004
1758.XYZ	1758.002
1758.XYZ	1758.004
1760.XYZ	1760.002
1760.XYZ	1760.004
1760.XYZ	1760.006
1760.XYZ	1760.008
1760.XYZ	1760.010
1760.XYZ	1760.012
1760.XYZ	1760.014
1760.XYZ	1760.016
1760.XYZ	1760.018
1760.XYZ	1760.020
1760.XYZ	1760.022
1761.XYZ	1761.002
1761.XYZ	1761.004
1761.XYZ	1761.006
1761.XYZ	1761.008
1761.XYZ	1761.010
1764.XYZ	1764.002
1764.XYZ	1764.004
1764.XYZ	1764.006
1765.XYZ	1765.002
1770.XYZ	1770.002
1771.XYZ	1771.002
1771.XYZ	1771.004
1774.XYZ	1774.002
1774.XYZ	1774.004
1774.XYZ	1774.006
1775.XYZ	1775.002
1776.XYZ	1776.002
1776.XYZ	1776.004
1776.XYZ	1776.006
1776.XYZ	1776.008
1776.XYZ	1776.010
1780.XYZ	1780.002
1789.XYZ	1789.002
1790.XYZ	1790.002
1792.XYZ	1792.002
1792.XYZ	1792.004
1792.XYZ	1792.006
1792.XYZ	1792.008
1792.XYZ	1792.010
1792.XYZ	1792.012
1792.XYZ	1792.014
1792.XYZ	1792.016
1792.XYZ	1792.018
1792.XYZ	1792.020
1793.XYZ	1793.002
1793.XYZ	1793.004
1793.XYZ	1793.006
1795.XYZ	1795.002
1795.XYZ	1795.004
1795.XYZ	1795.006
1799.XYZ	1799.002
1800.XYZ	1800.002
1810.XYZ	1810.002
1810.XYZ	1810.004
1817.XYZ	1817.002
1817.XYZ	1817.004
1817.XYZ	1817.006
1817.XYZ	1817.008
1817.XYZ	1817.010
1817.XYZ	1817.012
1817.XYZ	1817.014
1817.XYZ	1817.016
1823.XYZ	1823.002
1826.XYZ	1826.002
1827.XYZ	1827.002
1827.XYZ	1827.004
1827.XYZ	1827.006
1827.XYZ	1827.008
1827.XYZ	1827.010
1827.XYZ	1827.012
1827.XYZ	1827.014
1827.XYZ	1827.016
1832.XYZ	1832.002
1836.XYZ	1836.002
1838.XYZ	1838.002
1838.XYZ	1838.004
1840.XYZ	1840.002
1840.XYZ	1840.004
1841.XYZ	1841.002
1845.XYZ	1845.002
1847.XYZ	1847.002
1847.XYZ	1847.004
1847.XYZ	1847.006
1847.XYZ	1847.008
1849.XYZ	1849.002
1852.XYZ	1852.002
1852.XYZ	1852.004
1852.XYZ	1852.006
1852.XYZ	1852.008
1852.XYZ	1852.010
1852.XYZ	1852.012
1852.XYZ	1852.014
1868.XYZ	1868.002
1868.XYZ	1868.004
1872.XYZ	1872.002
1872.XYZ	1872.004
1872.XYZ	1872.006
1872.XYZ	1872.008
1872.XYZ	1872.010
1872.XYZ	1872.012
1874.XYZ	1874.002
1874.XYZ	1874.004
1877.XYZ	1877.002
1877.XYZ	1877.004
1877.XYZ	1877.006
1889.XYZ	1889.002
1890.XYZ	1890.002
1890.XYZ	1890.004
1890.XYZ	1890.006
1891.XYZ	1891.002
1896.XYZ	1896.002
1899.XYZ	1899.002
1905.XYZ	1905.002
1905.XYZ	1905.004
1912.XYZ	1912.002
1918.XYZ	1918.002
1919.XYZ	1919.002
1928.XYZ	1928.002
1931.XYZ	1931.002
1931.XYZ	1931.004
1931.XYZ	1931.006
1931.XYZ	1931.008
1931.XYZ	1931.010
1931.XYZ	1931.012
1931.XYZ	1931.014
1931.XYZ	1931.016
1931.XYZ	1931.018
1931.XYZ	1931.020
1931.XYZ	1931.022
1931.XYZ	1931.024
1931.XYZ	1931.026
1931.XYZ	1931.028
1931.XYZ	1931.030
1931.XYZ	1931.032
1931.XYZ	1931.034
1931.XYZ	1931.036
1931.XYZ	1931.038
1932.XYZ	1932.002
1933.XYZ	1933.002
1938.XYZ	1938.002
1938.XYZ	1938.004
1938.XYZ	1938.006
1938.XYZ	1938.008
1938.XYZ	1938.010
1938.XYZ	1938.012
1938.XYZ	1938.014
1938.XYZ	1938.016
1938.XYZ	1938.018
1938.XYZ	1938.020
1938.XYZ	1938.022
1938.XYZ	1938.024
1938.XYZ	1938.026
1938.XYZ	1938.028
1938.XYZ	1938.030
1938.XYZ	1938.032
1938.XYZ	1938.034
1938.XYZ	1938.036
1938.XYZ	1938.038
1938.XYZ	1938.040
1938.XYZ	1938.042
1938.XYZ	1938.044
1938.XYZ	1938.046
1938.XYZ	1938.048
1938.XYZ	1938.050
1938.XYZ	1938.052
1938.XYZ	1938.054
1938.XYZ	1938.056
1938.XYZ	1938.058
1938.XYZ	1938.060
1938.XYZ	1938.062
1944.XYZ	1944.002
1944.XYZ	1944.004
1948.XYZ	1948.002
1948.XYZ	1948.004
1948.XYZ	1948.006
1956.XYZ	1956.002
1957.XYZ	1957.002
1957.XYZ	1957.004
1957.XYZ	1957.006
1957.XYZ	1957.008
1959.XYZ	1959.002
1962.XYZ	1962.002
1962.XYZ	1962.004
1962.XYZ	1962.006
1978.XYZ	1978.002
1984.XYZ	1984.002
1984.XYZ	1984.004
1985.XYZ	1985.002
1988.XYZ	1988.002
1997.XYZ	1997.002
1998.XYZ	1998.002
2006.XYZ	2006.002
2007.XYZ	2007.002
2007.XYZ	2007.004
