Lnum	basehw	compound	resolution
13593	vivartin	A-	avivartin
13593	vivartin	Pārśva-	pArSvavivartin
13597	vivAda	A-	avivAda
13597	vivAda	Nis-	nirvivAda
13597	vivAda	Śānta-	SAntavivAda
13597	vivAda	Sīmā-	sImAvivAda
13610	viveka	A-	aviveka
13613	vivekin	A-	avivekin
13618	viS	Svar-veśyā	svarveSyA
13621	viSaNka	A-	aviSaNka
13621	viSaNka	Nis-	nirviSaNka
13636	viSiKa	Kaṭākṣa-	kawAkzaviSiKa
13640	viSeza	A-viśeṣa + m	aviSezam
13640	viSeza	Tapoviśeṣa	tapoviSeza
13640	viSeza	Daśā-	daSAviSeza
13640	viSeza	Nis-	nirviSeza
13640	viSeza	Prasādhana-	prasADanaviSeza
13640	viSeza	Rasa-	rasaviSeza
13640	viSeza	Sa-	saviSeza
13641	viSezaka	Patra-	patraviSezaka
13641	viSezaka	Vi-pra-naṣṭa-	vipranazwaviSezaka
13641	viSezaka	Sa-	saviSezaka
13642	viSezajYa	A-	aviSezajYa
13643	viSezaRa	Nis-	nirviSezaRa
13643	viSezaRa	Sa-	saviSezaRa
13646	viSezatas	Sa-	saviSezatas
13652	viSozaRa	Tālu-	tAluviSozaRa
13666	viSrAva	Loka-viśruti	lokaviSruti
13668	viSleza	Citta-	cittaviSleza
13689	viSvAsa	A-	aviSvAsa
13691	viSvAsin	A-	aviSvAsin
13697	viz	Karṇa-	karRaviz
13698	viza	Karṇa-	karRaviza
13698	viza	Dūṣī-	dUzIviza
13698	viza	Dṛṣṭi-	dfzwiviza
13698	viza	Nis-	nirviza
13698	viza	Netra-	netraviza
13698	viza	Mahā-	mahAviza
13698	viza	Lālā-	lAlAviza
13699	vizaNga	Nis-	nirvizaNga
13705	vizama	Vākya-vajra-	vAkyavajravizama
13709	vizaya	A-	avizaya
13709	vizaya	An-anya-	ananyavizaya
13709	vizaya	Avakāśa-	avakASavizaya
13709	vizaya	Cakṣurviṣaya	cakzurvizaya
13709	vizaya	A-cakṣus-	acakzurvizaya
13709	vizaya	Guṇa-samudaya-avāpti-	guRasamudayAvAptivizaya
13709	vizaya	Nis-	nirvizaya
13709	vizaya	Nīti-	nItivizaya
13709	vizaya	Palāyana-	palAyanavizaya
13709	vizaya	Mitra-	mitravizaya
13709	vizaya	Yuvati-	yuvativizaya
13709	vizaya	Śruti-	Srutivizaya
13709	vizaya	Sva-	svavizaya
13714	vizARa	Nis-	nirvizARa
13714	vizARa	Śaśa-	SaSavizARa
13716	vizAda	A-	avizAda
13716	vizAda	Sa-viṣāda + m	savizAdam
13725	vizkira	Nakha-	naKavizkira
13725	vizkira	Smera-	smeravizkira
13726	vizwapa	Tri-	trivizwapa
13730	vizwA	Go-viṣṭhā	govizWA
13730	vizwA	Mukha-viṣṭhā	muKavizWA
13747	visaMvAdin	A-	avisaMvAdin
13754	visarpin	Manda-	mandavisarpin
13766	vistara	Ati-	ativistara
13766	vistara	Sa-	savistara
13766	vistara	Su-vistara + m	suvistaram
13770	vistAra	Ati-	ativistAra
13774	vispazwa	A-	avispazwa
13779	vismaya	Sa-vismaya	savismaya
13793	vihaMga	Nis-	nirvihaMga
13796	vihati	Praṇaya-	praRayavihati
13804	vihAra	Jayendra-	jayendravihAra
13804	vihAra	Nis-	nirvihAra
13804	vihAra	Hiṃsā-	hiMsAvihAra
13815	vihvala	A-	avihvala
13815	vihvala	Pari-	parivihvala
13825	vIci	A-	avIci
13825	vIci	Mahā-	mahAvIci
13827	vIja	A-	avIja
13827	vIja	Agni-	agnivIja
13827	vIja	Upta-	uptavIja
13827	vIja	Uśīra-	uSIravIja
13827	vIja	Nīti-	nItivIja
13827	vIja	Maṇi-	maRivIja
13827	vIja	Mantra-	mantravIja
13827	vIja	Raṅga-	raNgavIja
13827	vIja	Sva-	svavIja
13827	vIja	Hara-	haravIja
13827	vIja	Hari-	harivIja
13833	vIjya	Mahā-	mahAvIjya
13835	vIRA	Danta-	dantavIRA
13835	vIRA	Sūtra-	sUtravIRA
13840	vITi	Aja-vīthī	ajavITI
13840	vITi	Ghana-vīthi-vīthi	GanavITivITi
13840	vITi	Nakṣatra-vīthī	nakzatravITI
13840	vITi	Nabhovīthī	naBovITI
13840	vITi	Nāga-vīthī	nAgavITI
13840	vITi	Sura-vīthī	suravITI
13848	vIra	A-	avIra
13848	vIra	Eka-	ekavIra
13848	vIra	Mahā-	mahAvIra
13848	vIra	Su-	suvIra
13858	vIruD	Nis-	nirvIruD
13861	vIrya	A-mogha-	amoGavIrya
13861	vIrya	Nis-	nirvIrya
13861	vIrya	Mahā-	mahAvIrya
13861	vIrya	Vi-citra-	vicitravIrya
13861	vIrya	Sama-	samavIrya
13861	vIrya	Su-	suvIrya
13867	vf	Ūrdhva-	UrDvavf
13867	vf	Svayam-	svayamvf
13872	vfka	A-	avfka
13872	vfka	Śālā-	SAlAvfka
13876	vfkza	Asi-patra-	asipatravfkza
13876	vfkza	Kalpa-	kalpavfkza
13876	vfkza	Kṣīra-	kzIravfkza
13876	vfkza	Caitya-	cEtyavfkza
13876	vfkza	Dīpa-	dIpavfkza
13876	vfkza	Nis-	nirvfkza
13877	vfkzaka	A-	avfkzaka
13886	vft	Ārya-	Aryavft
13886	vft	Iti-	itivft
13886	vft	Kalyāṇa-	kalyARavft
13886	vft	Kāma-	kAmavft
13886	vft	Kim-	kimvft
13886	vft	Guru-	guruvft
13886	vft	Chandov˚	Candov˚
13886	vft	Tejov˚	tejov˚
13886	vft	Dus-	durvft
13886	vft	A-dus-	adurvft
13886	vft	Ati-dus-	atidurvft
13886	vft	Purā-	purAvft
13886	vft	Pūrva-	pUrvavft
13886	vft	Maṅgalādeśa-	maNgalAdeSavft
13886	vft	Yathā-vṛtta + m	yaTAvfttam
13886	vft	Veda-	vedavft
13886	vft	Sadv˚	sadv˚
13886	vft	Sādhu-	sADuvft
13886	vft	Su-	suvft
13886	vft	Sva-	svavft
13893	vfttAnta	Sadvṛ˚	sadvf˚
13894	vftti	A-	avftti
13894	vftti	Anyathā-	anyaTAvftti
