headword	Lnum
मन्त्रगुह्य	4519.002
मन्त्रौषधिवश	12866.018
मन्दभाग्यता	10973
मरोल	11020
महासङ्कट	2802.010
मातृशून्यता	14840.002
मानुषसंभव	15779.024
मित्त्रता	11302
मित्त्रवन्त्	11304
मुनिश्रेष्ठ	15034.005
मूर्तिमात्र	11166.052
मृगकोप	3831.008
मेहतस्	11571
मोहवश	12866.020
यज्ञवीत	14306.002
यज्ञार्थ	1023.032
यत्किंचिद	11684
यथाकथम्	2860.002
यथाकर्मन्	3049.052
यथाभीष्टदिशम्	11692
यथेप्सा	1918.002
युधिश्रेष्ठ	11826
युधिष्ठिरपुरोगम	9007.006
युवतिविषय	13709.022
रक्कजय	5287.010
रङ्गमण्डल	10850.014
रङ्गमातृक	11162.004
रथाङ्गश्रोणिविम्बा	10310.008
राज(न्)पुरुष	8996.032
राजाग्नि	43.022
रामकिल्विष	3425.004
रोप्	12238
रोमाञ्चितगात्र	4403.002
लक्ष्मणानुचर	388.002
लम्बय	12344
लुब्धकवार्त्ता	13063.008
लोकाभिहार	853.002
वञ्चितानेककामुक	3256.002
वटतल	5784.020
वत्सबन्ध	10220.030
वनवासक्षम	4025.012
वरुणात्मज	1469.006
वश्यकता	12879
वहिर्गिरि	4452.015
वहिर्वेदि	13973.006
वाघन्त्	12951
वाणपात	8610.024
वाणमय	12981
वाणयोजन	11862.004
वार्ताव्यतिकर	14164.004
वार्द्ध्रीणस	13074
वाष्पदुर्दिन	6466.006
विकसितवदनकमल	2940.004
विजयरथकुटुम्ब	3494.002
वितथम्	5663.008
वित्तमात्र	11166.064
विद्वेषिप्र्˚	9771.006
विनिष्चल	4912.004
विपन्नापत्य	627.004
विम्बफलाधरोष्ठ	250.004
विर्यावदान	1140.002
विशालकुलसंभव	15779.026
विशेषणवन्त्	13645
विषमशिष्	14731.002
विषाणकोष	3845.014
विससुत	16189.028
विस्तारितबहुव्रण	14316.008
विस्तारितवर्णसंकररुच्	12140.006
विस्मयकर्षमूल	11461.020
वीजकाण्डरुह	12175.010
वीजवन्त्	13831
वीजाङ्कुर	78.012
वीजाश्व	1260.008
वीणारवा	12002.014
वीतशङ्का	14381.006
वीर्यधूत	7048.002
वृत्तिपोषक	9234.002
वृषभैकादश	2598.002
वृहत्तुहिनशर्कर	14507.008
वृहद्बल	10243.024
वृहन्त्	13935
वृहस्पतिसुरतप्रिया	10077.032
वैदूर्यमय	14060
व्रञ्ज्	14314
शतदशक	6342.002
शब्दादिधर्मन्	6962.008
शर्वरीदीपक	6513.002
शवलत्व	14540
शष्पभोजिन्	10719.006
शस्त्रविद्	13306.006
शास्त्रवन्त्	14661
शितचम्पक	4872.002
शिलापिधान	702.002
शूनाचक्रध्वजवन्त्	14837
शूनास्थ	14838
शूरवर्माभिध	751.002
श्यालनामन्	7331.014
षड्विधा	13350.046
संकेत्	15307
संघड्डन	15346
संपर्कीय	15733
संमूर्छनोद्भव	2152.010
संसर्गरुचि	12142.012
संहतस्तन	16508.008
सक्तुशराव	14499.002
सपत्रलेख	12482.010
सप्तकक्ष्य	2775.004
सप्ततिसंबन्ध	15769.002
सप्तभूमिका	10647.004
सप्तसप्तन्	15543.006
सभृकुटिमुख	11351.090
समाजसंनिवेश	15522.004
समातृचक्रबाल	4777.006
समित्त्र	11301.010
समुद्रयानकुशल	3623.008
सरिद्वर	12728.022
सर्पत्वसंभावना	15781.002
सर्वभूतहितैषिन्	2644.004
सवाष्पम्	13095.006
सवेणुवीणापणवानुनादम्	405.002
सशृङ्ग	14860.012
सहपिण्ड	8812.004
सागरोद्भूतनिःस्वन	7383.002
साङ्काश्या	15970
साधुंमन्य	16004
साम(न्)वाद	13005.024
सिकतारेणु	12199.006
सुक्रम्	3920.010
सुखारोहणसोपान	16404.002
सुग्रीवा	4663.020
सुच्छन्न	5147.002
सुनिष्चित	4966.004
सुमित्त्र	11301.012
सुयन्त्र	11707.026
सुरब्ध	11982.002
सुराधित	12073.002
सुरारिसंभव	15779.028
सुवास्	13097.002
सुवीत	14306.004
सुसंबन्ध	15769.004
सूर्पनखा	7160.006
स्त्रीरत्नकूटस्थ	3664.002
स्त्रीस्वरूपवन्त्	12184.004
स्नुतस्	16664
स्फुरितरुचि	12142.014
स्मरशवर	14538.002
स्मराङ्कुर	78.014
स्मृतिरुद्ध	12161.004
स्रंश्	16792
स्वकरावलम्बनविमुक्तगलत्कलकाञ्चि	3188.002
स्वमायायन्त्र	11707.032
स्वयंवरकृतक्षण	4000.012
स्वयम्वृत	13867.004
स्वसंस्थ	15255.010
स्वेदनिक	16940
हंसगद्गद	4309.004
हताश्	1761.010
हर्म्याङ्गण	89.004
हस्ताग्रलग्न	12288.008
हस्त्यश्वरथसंबाध	15774.012
हिरण्यविन्दु	13403.004
हेमाम्बुरुह	939.002
हेमार्थ्य	1039.002
हेलुदिण्ण	17236
